Game_Name,Game_url,Tags
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_7000_150_1,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Maneater,https://store.steampowered.com/app/629820/Maneater/?snr=1_7_7_7000_150_1,"Dark Humor,Nature,Open World,Underwater,Singleplayer,Exploration,Female Protagonist,Violent,Action RPG,Third Person,Narration,Gore,Action-Adventure,Action,RPG,Simulation,Villain Protagonist,Atmospheric,Adventure,Satire"
Human: Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_7000_150_1,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
ASTRONEER,https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_7000_150_1,"Multiplayer,Open World,Open World Survival Craft,Space,Survival,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
Only Up!,https://store.steampowered.com/app/2381590/Only_Up/?snr=1_7_7_7000_150_1,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Psychological Horror,Exploration,Platformer,Story Rich,Arcade,Replay Value,Atmospheric,Roguelike,Cinematic,Simulation,Surreal"
Hacknet,https://store.steampowered.com/app/365450/Hacknet/?snr=1_7_7_7000_150_1,"Hacking,Simulation,Programming,Typing,Story Rich,Singleplayer,Choices Matter,Great Soundtrack,Crime,Atmospheric,Detective,Cyberpunk,2D,Logic,Education,Adventure,Difficult,Dystopian,Sci-fi,Indie"
Terraria,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_7000_150_1,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access"
Techtonica,https://store.steampowered.com/app/1457320/Techtonica/?snr=1_7_7_7000_150_1,"Simulation,Automation,Strategy,Building,Base Building,City Builder,Resource Management,Sandbox,Crafting,Management,Exploration,Immersive Sim,First-Person,Colorful,Sci-fi,Co-op,Multiplayer,Online Co-Op,Singleplayer,Early Access"
Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_7000_150_1,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian"
NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play"
Car For Sale Simulator 2023,https://store.steampowered.com/app/2248760/Car_For_Sale_Simulator_2023/?snr=1_7_7_7000_150_1,"Immersive Sim,Driving,Trading,FPS,Automobile Sim,Life Sim,Simulation,3D,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie"
Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie"
Viewfinder,https://store.steampowered.com/app/1382070/Viewfinder/?snr=1_7_7_7000_150_1,"Puzzle Platformer,First-Person,Puzzle,Singleplayer,Psychological,3D Platformer,Dark Humor,Surreal,Action-Adventure,Adventure,Physics,Atmospheric,Narration,Exploration,Colorful,Story Rich,Abstract,Platformer,Stylized,Retro"
Jagged Alliance 3,https://store.steampowered.com/app/1084160/Jagged_Alliance_3/?snr=1_7_7_7000_150_1,"Strategy,Tactical,Turn-Based Tactics,RPG,Turn-Based Strategy,Turn-Based Combat,Tactical RPG,Singleplayer,Strategy RPG,Co-op Campaign,Action,Loot,3D,Isometric,Classic,Turn-Based"
SnowRunner,https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_7000_150_1,"Simulation,Automobile Sim,Adventure,Exploration,Sandbox,Realistic,Driving,First-Person,Open World,Third Person,Multiplayer,Immersive Sim,Atmospheric,Racing,Snow,Nature,ATV,Physics,PvE,Team-Based"
